group,color_name,hex,R,G,B,close_skin,close_greybg,potential_exclude
red,IndianRed,#CD5C5C,205,92,92,0,0,0
red,LightCoral,#F08080,240,128,128,1,0,1
red,Salmon,#FA8072,250,128,114,0,0,0
red,DarkSalmon,#E9967A,233,150,122,1,0,1
red,LightSalmon,#FFA07A,255,160,122,1,0,1
red,Crimson,#DC143C,220,20,60,0,0,0
red,Red,#FF0000,255,0,0,0,0,0
red,FireBrick,#B22222,178,34,34,0,0,0
red,DarkRed,#8B0000,139,0,0,0,0,0
pink,Pink,#FFC0CB,255,192,203,0,0,0
pink,LightPink,#FFB6C1,255,182,193,0,0,0
pink,HotPink,#FF69B4,255,105,180,0,0,0
pink,DeepPink,#FF1493,255,20,147,0,0,0
pink,MediumVioletRed,#C71585,199,21,133,0,0,0
pink,PaleVioletRed,#DB7093,219,112,147,0,0,0
orange,LightSalmon,#FFA07A,255,160,122,1,0,1
orange,Coral,#FF7F50,255,127,80,1,0,1
orange,Tomato,#FF6347,255,99,71,0,0,0
orange,OrangeRed,#FF4500,255,69,0,0,0,0
orange,DarkOrange,#FF8C00,255,140,0,0,0,0
orange,Orange,#FFA500,255,165,0,0,0,0
yellow,Gold,#FFD700,255,215,0,0,0,0
yellow,Yellow,#FFFF00,255,255,0,0,0,0
yellow,LightYellow,#FFFFE0,255,255,224,0,0,0
yellow,LemonChiffon,#FFFACD,255,250,205,0,0,0
yellow,LightGoldenrodYellow,#FAFAD2,250,250,210,0,0,0
yellow,PapayaWhip,#FFEFD5,255,239,213,0,0,0
yellow,Moccasin,#FFE4B5,255,228,181,0,0,0
yellow,PeachPuff,#FFDAB9,255,218,185,0,0,0
yellow,PaleGoldenrod,#EEE8AA,238,232,170,0,0,0
yellow,Khaki,#F0E68C,240,230,140,0,0,0
yellow,DarkKhaki,#BDB76B,189,183,107,0,0,0
purple,Lavender,#E6E6FA,230,230,250,0,0,0
purple,Thistle,#D8BFD8,216,191,216,0,0,0
purple,Plum,#DDA0DD,221,160,221,0,0,0
purple,Violet,#EE82EE,238,130,238,0,0,0
purple,Orchid,#DA70D6,218,112,214,0,0,0
purple,Fuchsia,#FF00FF,255,0,255,0,0,0
purple,Magenta,#FF00FF,255,0,255,0,0,0
purple,MediumOrchid,#BA55D3,186,85,211,0,0,0
purple,MediumPurple,#9370DB,147,112,219,0,0,0
purple,RebeccaPurple,#663399,102,51,153,0,0,0
purple,BlueViolet,#8A2BE2,138,43,226,0,0,0
purple,DarkViolet,#9400D3,148,0,211,0,0,0
purple,DarkOrchid,#9932CC,153,50,204,0,0,0
purple,DarkMagenta,#8B008B,139,0,139,0,0,0
purple,Purple,#800080,128,0,128,0,0,0
purple,Indigo,#4B0082,75,0,130,0,0,0
purple,SlateBlue,#6A5ACD,106,90,205,0,0,0
purple,DarkSlateBlue,#483D8B,72,61,139,0,0,0
purple,MediumSlateBlue,#7B68EE,123,104,238,0,0,0
green,GreenYellow,#ADFF2F,173,255,47,0,0,0
green,Chartreuse,#7FFF00,127,255,0,0,0,0
green,LawnGreen,#7CFC00,124,252,0,0,0,0
green,Lime,#00FF00,0,255,0,0,0,0
green,LimeGreen,#32CD32,50,205,50,0,0,0
green,PaleGreen,#98FB98,152,251,152,0,0,0
green,LightGreen,#90EE90,144,238,144,0,0,0
green,MediumSpringGreen,#00FA9A,0,250,154,0,0,0
green,SpringGreen,#00FF7F,0,255,127,0,0,0
green,MediumSeaGreen,#3CB371,60,179,113,0,0,0
green,SeaGreen,#2E8B57,46,139,87,0,0,0
green,ForestGreen,#228B22,34,139,34,0,0,0
green,Green,#008000,0,128,0,0,0,0
green,DarkGreen,#006400,0,100,0,0,0,0
green,YellowGreen,#9ACD32,154,205,50,0,0,0
green,OliveDrab,#6B8E23,107,142,35,0,0,0
green,Olive,#808000,128,128,0,0,0,0
green,DarkOliveGreen,#556B2F,85,107,47,0,0,0
green,MediumAquamarine,#66CDAA,102,205,170,0,0,0
green,DarkSeaGreen,#8FBC8B,143,188,139,0,0,0
green,LightSeaGreen,#20B2AA,32,178,170,0,0,0
green,DarkCyan,#008B8B,0,139,139,0,0,0
green,Teal,#008080,0,128,128,0,0,0
blue,Aqua,#00FFFF,0,255,255,0,0,0
blue,Cyan,#00FFFF,0,255,255,0,0,0
blue,LightCyan,#E0FFFF,224,255,255,0,0,0
blue,PaleTurquoise,#AFEEEE,175,238,238,0,0,0
blue,Aquamarine,#7FFFD4,127,255,212,0,0,0
blue,Turquoise,#40E0D0,64,224,208,0,0,0
blue,MediumTurquoise,#48D1CC,72,209,204,0,0,0
blue,DarkTurquoise,#00CED1,0,206,209,0,0,0
blue,CadetBlue,#5F9EA0,95,158,160,0,0,0
blue,SteelBlue,#4682B4,70,130,180,0,0,0
blue,LightSteelBlue,#B0C4DE,176,196,222,0,0,0
blue,PowderBlue,#B0E0E6,176,224,230,0,0,0
blue,LightBlue,#ADD8E6,173,216,230,0,0,0
blue,SkyBlue,#87CEEB,135,206,235,0,0,0
blue,LightSkyBlue,#87CEFA,135,206,250,0,0,0
blue,DeepSkyBlue,#00BFFF,0,191,255,0,0,0
blue,DodgerBlue,#1E90FF,30,144,255,0,0,0
blue,CornflowerBlue,#6495ED,100,149,237,0,0,0
blue,MediumSlateBlue,#7B68EE,123,104,238,0,0,0
blue,RoyalBlue,#4169E1,65,105,225,0,0,0
blue,Blue,#0000FF,0,0,255,0,0,0
blue,MediumBlue,#0000CD,0,0,205,0,0,0
blue,DarkBlue,#00008B,0,0,139,0,0,0
blue,Navy,#000080,0,0,128,0,0,0
blue,MidnightBlue,#191970,25,25,112,0,0,0
yellow,Cornsilk,#FFF8DC,255,248,220,0,0,0
yellow,BlanchedAlmond,#FFEBCD,255,235,205,0,0,0
yellow,Bisque,#FFE4C4,255,228,196,0,0,0
yellow,NavajoWhite,#FFDEAD,255,222,173,0,0,0
yellow,Wheat,#F5DEB3,245,222,179,0,0,0
brown,BurlyWood,#DEB887,222,184,135,0,0,0
brown,Tan,#D2B48C,210,180,140,0,0,0
