handle,name,topics,follower_count,to_exclude_pets_food
ec24m,Jamie Chua 蔡欣颖,Photography Travel Fashion Design Celebrities,1200000,0
jiaqiwoo,胡佳琪 Jayley Woo,Fashion Styling Lifestyle,409700,0
limrebecca,Rebecca Lim 林慧玲,Actors Fashion Art Modeling,408400,0
speishi,SOH PEI SHI 苏培诗,Fashion Lifestyle Beauty,346800,0
dreachong,Andrea Chong,Fashion Styling Lifestyle,305500,0
carriewst,Carrie Wong 黄思恬,Fashion Modeling Lifestyle,297400,0
kimlimhl,K I M L I M,Fashion Lifestyle Design Technology Celebrities Humor,288200,0
novitalam,Novita Lam,Fashion,286300,0
julietan_cxq,Julie Tan 陈欣淇,Actors Modeling Fashion,283100,0
mongabong,Mongchin Yeoh,Art Beauty Fashion,281200,0
aureliang_,"Hi, I’m Aurelia 🕊",Fashion Lifestyle Modeling,275100,0
xplacidacidx,-fiona xie- *KITTY PONG*,Fashion Modeling Art,268800,0
melissackoh,Melissa Celestine Koh,Fashion Lifestyle Architecture Hair & Beauty,267800,0
nicolekittykatx,Nicole Low,Art Fashion Modeling,240300,0
zoetay10,Zoe Tay鄭惠玉,Fashion Modeling,223900,0
hayleywoojiayi,Hayley Woo 胡佳嬑,Modeling Fashion Art,210300,0
yahuiyh,Ya Hui 雅慧,Actors Modeling Fashion Music,204900,0
denisesoongeelyn,Denise Soong Ee Lyn 🍉,Fashion,204500,0
rchlwngxx,✘ Rachel Wong 誼恩 ✘,Fashion Modeling Lifestyle Photography Travel Technology,196500,0
saffronsharpe,Saffron Sharpe,Fashion Lifestyle Modeling Design Hair & Beauty Health & Fitness,190600,0
euniceannabel,EUNICE ANNABEL LIM,"Modeling Fashion Architecture Travel Photography Nature & Outdoors Film, Music & Books",187800,0
katepang311,龎蕾馨 Kate Pang,Moms Modeling Fashion,187100,0
honglingg_,Hong Ling,Actors Modeling Fashion Fitness Nature & Outdoors Photography Travel Architecture,173700,0
elaineruimin,Elaine Rui Min,Travel Fashion Photography,165900,0
mirchelley,MICHELLE 🐾,Fashion Art Lifestyle,161000,0
sheila_sim,Sheila Sim 沈琳宸,Art Modeling Fashion,153400,0
fionafussi,FIONA FUSSI 智欣,Fashion Beauty Lifestyle,141100,0
cheyennechesney,cheyenne,Modeling Fashion,140700,0
soniachew,SONIA,Fashion Lifestyle,140500,0
narellekheng,Narelle,Actors Fashion Lifestyle,138200,0
ohhowstrange,Kimberly Haley Wang,Fashion Lifestyle Modeling,136800,0
xoxoapo,apple cty 陳芷尤,Modeling Fashion,134100,0
jacelyn_tay,郑秀珍 | Wellness | Beauty,Fashion Lifestyle Coaching,133200,0
xinlinnn,XinLin Khaw,Fashion Lifestyle,129800,0
