image_list,rgba_list,instagram_handle,date_post,seq_post_samedate,month,meanshift_centers,meanshift_number_clusters
../pictures/wo_background/ec24m/ec24m_2021-01-31_C.png,[  0   0   0 ... 109 128 205],ec24m,2021-01-31,0,1,[188 145 148 253],1.0
../pictures/wo_background/ec24m/ec24m_2021-11-09_2.png,[0 0 0 ... 0 0 0],ec24m,2021-11-09,2,11,[152 138 130 253  43  43  47 253],2.0
../pictures/wo_background/ec24m/ec24m_2021-03-03_C.png,[0 0 0 ... 0 0 0],ec24m,2021-03-03,0,3,[231 219 204 253  61  44  38 253],2.0
../pictures/wo_background/ec24m/ec24m_2021-06-29_1.png,[ 0  0  0 ...  8  8 30],ec24m,2021-06-29,1,6,[207  51  23 252 156 113  97 253  61  26  21 253],3.0
../pictures/wo_background/ec24m/ec24m_2021-02-03_C.png,[0 0 0 ... 0 0 1],ec24m,2021-02-03,0,2,[208 173 152 251  78  38  31 249],2.0
../pictures/wo_background/ec24m/ec24m_2021-08-21_1.png,[0 0 0 ... 0 0 0],ec24m,2021-08-21,1,8,[138  13  33 253 166 108 108 251],2.0
../pictures/wo_background/ec24m/ec24m_2021-09-07_2.png,[0 0 0 ... 0 0 0],ec24m,2021-09-07,2,9,[190 176 167 254  14  11   9 239  56  49  42 231],3.0
../pictures/wo_background/ec24m/ec24m_2021-06-10_C.png,[0 0 0 ... 0 0 0],ec24m,2021-06-10,0,6,[218 207 191 253  17  10   9 253],2.0
../pictures/wo_background/ec24m/ec24m_2021-09-21_1.png,[0 0 0 ... 0 0 0],ec24m,2021-09-21,1,9,[188 161 138 253  87  64  54 249 111 135 182 253],3.0
../pictures/wo_background/ec24m/ec24m_2021-08-07_2.png,[0 0 0 ... 0 0 0],ec24m,2021-08-07,2,8,[178 159 151 248  69  46  52 250],2.0
../pictures/wo_background/ec24m/ec24m_2021-01-08_1.png,[0 0 0 ... 0 0 0],ec24m,2021-01-08,1,1,[167 128 109 252],1.0
../pictures/wo_background/ec24m/ec24m_2021-02-07_1.png,[0 0 0 ... 0 0 0],ec24m,2021-02-07,1,2,[111  85  74 252 183 167 165 253],2.0
../pictures/wo_background/ec24m/ec24m_2021-03-21_2.png,[0 0 0 ... 0 0 0],ec24m,2021-03-21,2,3,[165 136 117 251 173 139  31 252],2.0
../pictures/wo_background/ec24m/ec24m_2021-03-07_1.png,[0 0 0 ... 0 0 0],ec24m,2021-03-07,1,3,[185 156 151 253],1.0
../pictures/wo_background/ec24m/ec24m_2021-02-21_2.png,[0 0 0 ... 0 0 1],ec24m,2021-02-21,2,2,[128 112  98 253  45  44  39 252 160 237 244 254],3.0
../pictures/wo_background/ec24m/ec24m_2021-07-14_1.png,[0 0 0 ... 0 0 0],ec24m,2021-07-14,1,7,[174 156 147 253  16  15  16 252],2.0
../pictures/wo_background/ec24m/ec24m_2021-10-12_1.png,[0 0 0 ... 0 0 2],ec24m,2021-10-12,1,10,[170 151 143 253  39  30  27 253],2.0
../pictures/wo_background/ec24m/ec24m_2021-09-25_C.png,[0 0 0 ... 0 0 0],ec24m,2021-09-25,0,9,[ 71  42  30 251 169 160 140 253  31  91 168 251],3.0
../pictures/wo_background/ec24m/ec24m_2021-06-14_1.png,[ 0  0  0 ...  0  0 16],ec24m,2021-06-14,1,6,[ 82  51  29 252 224 187 151 253],2.0
../pictures/wo_background/ec24m/ec24m_2021-04-26_1.png,[0 0 0 ... 0 0 0],ec24m,2021-04-26,1,4,[ 54  44  41 251 176 165 166 253],2.0
../pictures/wo_background/ec24m/ec24m_2021-02-23_1.png,[0 0 0 ... 0 0 3],ec24m,2021-02-23,1,2,[173 157 162 253  67  49  42 248],2.0
../pictures/wo_background/ec24m/ec24m_2021-03-23_1.png,[0 0 0 ... 0 0 0],ec24m,2021-03-23,1,3,[198 190 185 253  56  42  33 250],2.0
../pictures/wo_background/ec24m/ec24m_2021-02-05_2.png,[0 0 0 ... 0 0 9],ec24m,2021-02-05,2,2,[173 140 143 251  67  42  37 247],2.0
../pictures/wo_background/ec24m/ec24m_2021-01-11_1.png,[ 0  0  0 ... 10  0 24],ec24m,2021-01-11,1,1,[185 154 156 253  39  35  42 253],2.0
../pictures/wo_background/ec24m/ec24m_2021-05-24_2.png,[0 0 0 ... 0 0 1],ec24m,2021-05-24,2,5,[204 159 146 253  55  35  29 249],2.0
../pictures/wo_background/ec24m/ec24m_2021-04-02_1.png,[0 0 0 ... 0 0 1],ec24m,2021-04-02,1,4,[ 65  34  15 252],1.0
../pictures/wo_background/ec24m/ec24m_2021-02-21_3.png,[ 0  0  0 ...  0  0 10],ec24m,2021-02-21,3,2,[152 118  88 253  20   7   4 253],2.0
../pictures/wo_background/ec24m/ec24m_2021-03-21_3.png,[0 0 0 ... 0 0 0],ec24m,2021-03-21,3,3,[110  76  37 251 146 131 120 250],2.0
../pictures/wo_background/ec24m/ec24m_2021-07-30_1.png,[0 0 0 ... 0 0 0],ec24m,2021-07-30,1,7,[204 160 140 254  25  18  16 252],2.0
../pictures/wo_background/ec24m/ec24m_2021-06-16_2.png,[  0   0   0 ... 161 127 224],ec24m,2021-06-16,2,6,[172 118  80 252 117  53  35 250],2.0
../pictures/wo_background/ec24m/ec24m_2021-06-30_1.png,[0 0 0 ... 0 0 0],ec24m,2021-06-30,1,6,[  9  28 102 253 129  99  84 253],2.0
../pictures/wo_background/ec24m/ec24m_2021-10-10_2.png,[0 0 0 ... 0 0 0],ec24m,2021-10-10,2,10,[148 123 100 253  96  77  57 253  38  30  26 252],3.0
../pictures/wo_background/ec24m/ec24m_2021-03-27_C.png,[0 0 0 ... 0 0 0],ec24m,2021-03-27,0,3,[205 148 138 253],1.0
../pictures/wo_background/ec24m/ec24m_2021-02-27_C.png,[0 0 0 ... 0 0 0],ec24m,2021-02-27,0,2,[166 130  94 253  30  29  38 253],2.0
../pictures/wo_background/ec24m/ec24m_2021-01-15_C.png,[0 0 0 ... 0 0 0],ec24m,2021-01-15,0,1,[ 24  18  13 248 148   5  29 252 185 124  94 253],3.0
../pictures/wo_background/ec24m/ec24m_2021-04-19_2.png,[0 0 0 ... 0 0 0],ec24m,2021-04-19,2,4,[188 138  84 253],1.0
../pictures/wo_background/ec24m/ec24m_2021-08-07_3.png,[0 0 0 ... 0 0 3],ec24m,2021-08-07,3,8,[159 148 146 252  53  32  32 252],2.0
../pictures/wo_background/ec24m/ec24m_2021-11-09_3.png,[0 0 0 ... 0 0 0],ec24m,2021-11-09,3,11,[150 134 124 253  40  40  43 251],2.0
../pictures/wo_background/ec24m/ec24m_2021-04-06_C.png,[0 0 0 ... 0 0 0],ec24m,2021-04-06,0,4,[200 195 196 253 160 144 142 252],2.0
